category,text,Label,Result
27,"Today’s online games feature a “persistent world” hosted onone or more servers that grows and develops from day to dayand in which the “avatars” or representatives of thousandsof players interact with game-generated creatures or oneanother, using client software.  Players can spend hundredsof hours helping their characters develop skills, increasingtheir levels through experience points gained from successful combat or other activities.  Players (and their characters) frequently form organizations such as guilds or clans,because the tougher challenges generally require the cooperation of different types of classes of characters (fighters,healers, and magic-users). Modern MM ORPGs began in the late 1990s with suchtitles as Ultima Online and EverQuest.  The most popularMMORPG in the mid-2000s was World of Warcraft. ",0,Human
28,"As with shoppers, investors have increasingly been attractedto the interactivity and ease of online transactions.  In addition to allowing stocks to be bought or sold with just a fewclicks, online brokers (also called discount brokers) chargemuch lower transaction fees than their traditional counterparts, typically less than $10 per trade. Some online brokers, such as E*Trade, Scottrade, andTD Ameritrade, were established as Internet brokers.  However, traditional brokerages such as Charles Schwab andWaterhouse have also opened online discount brokerages. In addition to fast, inexpensive trading, many onlinebrokers also offer a variety of resources and tools, including stock quotes and charts, research reports, and screening programs to help investors pick the mutual funds orindividual investments that meet their objectives.  For moresophisticated investors, some brokers offer simulations fortesting investment strategies and programmed trading,which will execute buy or sell orders automatically depending on specified conditions. Online brokers can specialize, seeking customers whowant to make frequent trades but do not need other support, or investors who are interested in obtaining IPOs (initial public offerings) of up-and-coming companies.  Somebrokers may emphasize mutual funds and cater to retirement accounts, while others might offer government or corporate bonds, foreign stocks, “penny stocks,” or more exoticinvestments. The interactivity and low transaction costs in onlineinvesting may encourage people to become involved inhighly speculative penny stocks, options, day trading, foreign exchange markets, and other areas that are not suitablefor most individual investors.  While there is a great dealof useful information available online, it is a good idea tobegin by discussing investment goals and potential riskswith a trusted financial adviser. ",0,Human
29,"In evaluating a job site it is important to get a feel forthe kinds of jobs offered and the target audience, such asprofessionals, recent graduates, white-collar or service sector jobs, and so on.  Other important features to look forinclude:, powerful search or filtering capability, such as by typeof job or employer, keywords in job description, orlocality, the ability to put one’s resume online and edit orupdate it as needed. , the ability to have several versions of one’s resumetailored to different types of jobs, automatic e-mail alerts about newly added jobs thatmeet the user’s criteria, privacy protections so that contact information fromresumes is not used for marketing or other nonemployment purposes, lack of fees to job seekers (normally employers are theservice’s source of revenue)",0,Human
30,"A persistent problem in artificial intelligence , is how to provide a software systemwith a model that it can use to reason about a particularsubject or domain.  A data model or ontology basically consists of classes to which the relevant objects might belong,relationships between classes, and attributes that objects inthat class can possess.  (For implementation of these ideaswithin programming languages, see classes and objectoriented programming. )For example, a business ontology might include classessuch as:, Entity—a business or person, Supplier—an Entity that provides wholesale goods orservices, Customer—an Entity that buys the company’s goodsor services, Contractor—an Entity that performs work for thecompany on contract",0,Human
31,"Ontologies can be used to provide guidance to a variety oftypes of programs (for example, see expert system, natural language processing, and software agent).  Thusif an automatic news summarizer program encounters astory that includes references to opposing lawyers and legalissues, it could apply an ontology that defines the likelyrelationship of the participants in the case. Creating useful ontologies is quite labor intensive interms of the human thinking and coding involved.  However, there have been substantial efforts in recent years tocreate anthologies for many fields, particularly in biologyand genetics.  The Web Ontology Language (OWL) is apopular tool for creating ontologies that can be used tomake Web content more understandable to programs ,. Meanwhile, an ambitious and long-running projectcalled Cyc (for Encyclopedia) under the direction of Douglas Lenat has been engaged in creating what amounts tovast ontologies for many of the domains included in everyday human life as well as specialized fields of knowledge.  Alarge portion of this work has been made available as opensource. ",0,Human
32,"According to Stallman and many other advocates, “opensource” software is not necessarily free.  What is requiredis that users receive the full source code (or have it readilyavailable for free or at nominal charge).  Users are free tomodify or expand the source code to create and distributenew versions of the software.  Following a legal mechanismthat Stallman calls “copyleft,” the distributor of opensource software must allow subsequent recipients the samefreedom to revise and redistribute.  However, not all software that is billed as open source follows all of Stallman’srequirements, including being copylefted.  Formally, opensource software is generally licensed according to variousversions of the General Public License (GPL).  The latestversion, GPL3, released in 2007, has been controversial. Among other things, it more aggressively attempts to prevent open-source software from being restricted or otherwise hampered by being combined with patented softwareor proprietary hardware. ",0,Human
33,"An operating system is an overarching program that manages the resources of the computer.  It runs programs andprovides them with access to memory (RAM), input/outputdevices, a file system, and other services.  It provides application programmers with a way to invoke system services, andgives users a way to control programs and organize files. The “core” functions include “booting” the system and initializing devices, process management(loading programs intro memory assigning them a share ofprocessing time), and allowing processes to communicatewith the operating system or one another ,. Multiprogramming systems often implement not only processes (running programs) but also threads, or sections ofcode within programs that can be controlled separately. A memory management scheme is used to organize andaddress memory, handle requests to allocate memory, freeup memory no longer being used, and rearrange memory tomaximize the useful amount ,. There is also a scheme for organizing data created orused by programs into files of various types ,.  Mostoperating systems today have a hierarchical file system thatallows for files to be organized into directories or foldersthat can be further subdivided if necessary",0,Human
34,"Designers of modern operating systems face a numberof continuing challenges:, security, in a world where nearly all computers arenetworked, often continuously ,, the tradeoff between powerful, attractive functionssuch as scripting and the security vulnerabilities theytend to present, the need to provide support for new applications suchas streaming audio and video ,, ease of use in installing new devices ,The continuing development of new user-interfaceconcepts, including alternative interfaces for the disabled and for special applications ,, the growing use of multiprocessing and multiprogramming, requiring coordination of processors sharingmemory and communicating with one another ,, distributed systems where server programs, clientprograms, and data objects can be allocated amongmany networked computers, and allocations continually adjusted or balanced to reflect demand on thesystem ,, the spread of portable, mobile, and handheld computers and computers embedded in devices such asengine control systems ,.  (Sometimes the choice isbetween devising a scaled-down version of an existing operating system and designing a new OS that isoptimized for devices that may have limited memoryand storage capacity. )",0,Human
35,"Generally speaking, the levels of precedence for mostlanguages are as follows:1.  scope resolution operators (specify local v.  globalversions of a variable)2.  invoking a method from a class, array subscript,function call, increment or decrement3.  size of (gets number of bytes in an object), addressand pointer dereference, other unary operators(such as “not” and complement); creation and deallocation functions; type casts 4.  class member selection through a pointer5.  multiplication, division, and modulus6.  addition and subtraction7.  left and right shift operators8.  less than and greater than9.  equal and not equal operators10.  bitwise operators (AND, then exclusive OR, inclusive OR)11.  logical operators (AND, then OR)12.  assignment statements",0,Human
36,"Today it is easy to optically scan text or graphics printed onpages and convert it into a graphical representation for storage in the computer ,.  However, a shape suchas a letter c doesn’t mean anything in particular as a graphic. Optical character recognition (OCR) is the process of identifying the letter or other document element that correspondsto a given part of the scanned image and converting it tothe appropriate character ,.  Ifthe process is successful, the result is a text document thatcan be manipulated in a word processor, database, or otherprogram that handles text.  Raymond Kurzweil (1948– )marketed the first commercially practicable general-purposeoptical character recognition system in 1978. ",0,Human
37,"Once the document page has been scanned into an imageformat, there are various ways to identify the characters. One method is to use stored templates that indicate the pattern of pixels that should correspond to each character.  Generally, a threshold of similarity is defined so that an exactmatch is not necessary to classify a character: The templatemost similar to the character is chosen.  Some systems storea set of templates for each of the fonts most commonly foundin printed text.  (Recognizing cursive writing is a much morecomplex process: See handwriting recognition. )A more generalized method uses structural features(such as “all t’s have a single vertical line and a shortercrossbar line”) to classify characters.  To analyze a character,the different types of individual features are identified andthen compared to a set of rules to determine the charactercorresponding to that particular combination of features. Sometimes thresholds or “fuzzy logic” are used to decidethe probable identity of a character. ",0,Human
38,"Jaguar, panther, tiger, and leopard—these and other namesof sleek big cats represent versions of Apple’s Macintoshoperating system, OS X (pronounced “OS 10”—see AppleCorporation and Macintosh).  Unlike the previous MacOS, OS X, while broadly maintaining Apple’s user interfacestyle ,, is based on a version of UNIXcalled OpenStep, developed by NeXT starting in the 1980s,.  OS X development began when Steve Jobsreturned as Apple CEO in 1997 ,and the company bought NeXT, acquiring the software.  Thefirst version, OS X 10. 0, or Cheetah, was released in 2001,but the system was not widely used until 10. 1 (Puma) wasreleased later the same year. At the core of OS X is a free and open-source version ofUNIX called “Darwin,” with a kernel called XNU.  On top ofthis Apple built a distinctive and subtly colorful user interface called Aqua and a new version of the Macintosh Finderfile and program management system",0,Human
39,"Today OS X includes a variety of useful software packages—some free and some optional.  These include iLife (digitalmedia management), iWork (productivity), and Front Row(home media center).  OS X10. 5 also includes Time Machine,an automatic backup system that can restore files (includingdeleted files) as well as earlier system settings. For software developers, OS X provides an integrateddevelopment environment called “Xcode,” which workswith modified open-source compilers for major programming languages, including C, C++, and Java.  Further,because OS X is UNIX-based, many UNIX and Linux programs can be recompiled to run on it.  Since mid-2005 Apple(and OS X) have been transitioning from the earlier IBM/Motorola processors to Intel processors.  This transition waslargely complete by 2007, though OS X 10. 5 (Leopard) stillprovides support for applications written for the PowerPC. OS X has been well received by critics, and together withits bundled software has made the Macintosh a popularplatform for users who want a seamless computing experience, particularly with regard to graphics and media. ",0,Human
40," With a parallel connection, however, the eight bitsof the byte are sent simultaneously, each along its own wire,so parallel ports are generally faster than serial ports.  Also,since the data is transmitted simultaneously, the protocolfor marking the beginning and end of each data byte is simpler.  On the other hand, parallel cables are more expensive(since they contain more wires) and are generally limitedto a length of 10 feet or so because of electrical interferencebetween the parallel wires. The original parallel interface for personal computerswas designed by Centronics, and a later version of this 36-pin connector remains popular today.  Later, IBM designed a25-pin version.  In addition to the wires carrying data, additional wires are used to carry control signals",0,Human
41,"After many years of effort researchers have been able tocreate systems that can recognize particular human faces,.  On the other hand, any normalsix-month-old child can effortlessly recognize familiarfaces (such as parents).  The fundamental task of turningraw data (whether from senses, instruments, or computerfiles) into recognizable objects or drawing inferences iscalled pattern recognition.  Pattern recognition is at theheart of many areas of research and application in computing ,. Despite the challenge in getting machines to do what comes naturally for biological organisms, the potentialpayoffs are immense. A pattern-recognition system begins with data, whetherstored or real-time (such as from a robot’s camera).  The firsttask in turning potentially billions of bytes of data intomeaningful objects is to extract features from what is likelya high proportion of redundant or irrelevant data.  (Withvisual images, this often involves finding edges that defineshapes. ) The extracted features are then classified to determine what objects they might represent.  This can be doneby comparing structures to templates or previously classified data or by applying statistical analysis to determine thelikely correlation of the new data to existing patterns ,. Pattern recognition often includes learning algorithmsas well; indeed, the field is often considered to be a subtopicof machine learning.  For example, classification systemscan be refined by “training” them and reinforcing successful determinations ,. ",0,Human
42,"The first stage in making computing available away fromthe office desk was the development of “portable” and thenlaptop computers in the 1980s ,. Laptops, however, are relatively heavy and bulky, and thusnot suitable for activities such as making notes at meetings or keeping track of appointments while on the go. The logical solution to that need was to develop a computer small enough to carry in a pocket or purse.  The firsthandheld computer to achieve widespread recognition wasApple’s Newton, which the company referred to as a “personal digital assistant. ” This term, usually abbreviated toPDA, became a generic category with the introduction ofthe Palm Pilot, which first appeared in 1996, followed bythe seemingly ubiquitous RIM Blackberry in 1999. ",0,Human
